;username;text;sentiment;clean_teks
0;@jpnncom;Anggota DPD RI dapil Bali Made Mangku Pastika mengingatkan bahaya politik identitas jelang Pemilu 2024, NKRI Jadi Taruhan #Pastika;Negatif;anggota dpd ri dapil bal made memang pastika bahaya politik identitas jelang milu nkri taruh pastika
1;@depokinfo_;"#News: HALAL BI HALAL DPC PKS BOJONGSARI DEPOK; LANGKAH KONSOLIDASI MENYONGSONG KEMENANGAN DI PEMILU 2024 https://ift.tt/NArctIz | Depok News";Positif;berita halal bi halal dpc pks bojongsari depok langkah konsolidasi songsong menang milu depok berita
2;@medcom_id;Pilpres 2024, Ahmad Ali: NasDem Didirikan untuk Mencari Anak Terbaik Bangsa;Positif;pilpres ahmad ali nasdem diri cari anak baik bangsa
3;@kontenislam_com;Prabowo Subianto dan Puan Maharani di Pilpres 2024, Hasto: Berharap PDIP Jadi Kunci Kemajuan Bangsa https://bit.ly/3NaFYPy;Positif;prabowo subianto puan maharani pilpres hasto harap pdip kunci maju bangsa
4;@bellpass1;Petinggi Nilai Raffi Ahmad Layak Dicalonkan PKS di Pilpres 2024;Positif;petinggi nilai raffi ahmad layak calon pks pilpres
5;@ChantriChan;"Pasangan Ganjar dan 
@erickthohir
 diyakini dapat menjadi poros di pilpres 2024.
#BangkitBersamaET";Positif;pasang ganjar erickthohir yakin poros pilpres bangkitbersamaet
6;@21BeritaTerkini;Relawan Gelar Rakor, La Nyalla Poros Baru Pilpres 2024;Netral;rawan gelar rakor la nyalla poros pilpres
7;@medcom_id;NasDem Kebut Konsolidasi Daerah Menjelang Pemilu 2024;Netral;nasdem kebut konsolidasi daerah jelang milu
8;@Telegraf_ID;Hadapi Pilpres 2024, Ganjar Dinilai Bisa Belajar Dari Jokowi;Netral;hadap pilpres ganjar nilai ajar jokowi
9;@idaulat;Hadapi Pilpres 2024, Ganjar Dinilai Bisa Belajar Dari Jokowi;Netral;hadap pilpres ganjar nilai ajar jokowi
10;@Telegraf_ID;Duet Ganjar-Anies di Pilpres 2024 Dinilai Akan Sulit Dikalahkan;Negatif;duet ganjaranies pilpres nilai sulit kalah
11;@idaulat;Duet Ganjar-Anies di Pilpres 2024 Dinilai Akan Sulit Dikalahkan;Negatif;duet ganjaranies pilpres nilai sulit kalah
12;@yedi_kurniahadi;Tenggelamkan ANTEK2 OLIGHARCHY yg hanya membuat tambah sengsara rakyat 5 thn kedepan setelah pemilu 2024. Percayalah sesungguhnya OLIGHARCHY itu tidak akan mau dan tidak perduli dengan KESEJAHTERAAN RAKYAT. Jangan mau dibohongi terus oleh ANTEK2 OLIGHARCHY modal pencitraan doang.;Negatif;tenggelam antek oligharchy sengsara rakyat depan milu percaya sungguh oligharchy peduli sejahtera rakyat bohong antek oligharchy modal citra
13;@Telegraf_ID;Pilpres 2024, Jokowi Diharapkan Bersikap Netral;Netral;pilpres jokowi harap sikap netral
